CLAVE,NOMBRE DEL PRODUCTO,TIPO DE PIEL,PRESENTACIÓN,PRECIO,DESCRIPCIÓN,CATEGORÍA
AC006,MIXESSENCE,Todo tipo de piel,30 mL,$739,Gel contorno de ojos,Cremas de tratamiento
AC007,MIXESSENCE,Todo tipo de piel,60 mL,$909,Gel contorno de ojos,Cremas de tratamiento
AC015,MIXESSENCE,Todo tipo de piel,18 mL,$399,Gel contorno de ojos,Cremas de tratamiento
AC008,SHAMBALA,Todo tipo de piel,120 g,$659,Crema líquida humectante con provitaminas A y E,Cremas de tratamiento
AC009,SHAMBALA,Todo tipo de piel,240 g,$959,Crema líquida humectante con provitaminas A y E,Cremas de tratamiento
AC010,BI EFFECT,Todo tipo de piel,60 g,$509,Gel hidratante,Cremas de tratamiento
AC011,BI EFFECT,Todo tipo de piel,120 g,$749,Gel hidratante,Cremas de tratamiento
AC012,INTELLIGENT GLYCOLIC,Todo tipo de piel,30 mL,$619,Gel reacondicionador para personalizar el tratamiento cosmético,Cremas de tratamiento
AC013,SENSITIVE SKIN,Piel normal y Piel sensible,60 mL,$599,Emulsión antioxidante,Cremas de tratamiento
AC014,YANKA C,Todo tipo de piel,30 g,$719,Crema despigmentante,Cremas de tratamiento
AD001,TIFERETH,Todo tipo de piel,50 g,$719,Crema de noche con provitaminas A y E,Cremas nutritivas
AD002,TIFERETH,Todo tipo de piel,220 g,"$1,129",Crema de noche con provitaminas A y E,Cremas nutritivas
AD003,ASPASIA,Piel seca / Alípica,50 g,$869,Crema tensora y humectante para piel madura o flácida,Cremas nutritivas
AD004,ASPASIA,Piel seca / Alípica,220 g,"$1,129",Crema tensora y humectante para piel madura o flácida,Cremas nutritivas
AD005,BI EFFECT PIEL GRASA,Piel mixta y Piel grasa,60 g,$679,Gel regulador multifuncional,Cremas nutritivas
AE002,CLARYFIRM,Todo tipo de piel,60 mL,$719,Mascarilla aclaradora y reafirmante,Mascarillas
